id,longsor,jenis_tanah,batuan,hadap_lereng,jarak_sungai,lereng,penutup_lahan,pga,jarak_struktur,jarak_jalan,elevasi
34,1,6.00000,8.00000,5.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
35,1,6.00000,8.00000,5.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
36,1,6.00000,8.00000,1.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
37,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
38,1,6.00000,8.00000,1.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
39,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
40,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
41,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
42,1,6.00000,8.00000,1.00000,1.00000,3.00000,3.00000,5.00000,1.00000,5.00000,10.00000
43,1,6.00000,8.00000,1.00000,1.00000,3.00000,3.00000,5.00000,1.00000,5.00000,10.00000
44,1,6.00000,8.00000,1.00000,1.00000,3.00000,3.00000,5.00000,1.00000,5.00000,10.00000
45,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
46,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
47,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
48,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
49,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
50,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
